0000023040	VILLA ELISA                                                           	OBS_NC	25/09/2020	FARMALINK                               	MUTUAL FEDERADA                         	                        103193	202006M	   0108A01284978	          968,43	39	
0000023040	VILLA ELISA                                                           	OBS_NC	23/09/2020	FARMLNK-NC N                            	PAMI AMB ADEL                           	                    0182647579	2020091	   0108A01281205	       258704,45	39	
0000023040	VILLA ELISA                                                           	OBS_NC	23/09/2020	FARMLNK-NC N                            	PAMIINSCFCIAS                           	                    0182685468	2020091	   0108A01280713	         3753,48	39	
0000023040	VILLA ELISA                                                           	OBS_NC	23/09/2020	FARMLNK-NC N                            	PAMI I ADEL                             	                    0182679337	2020091	   0108A01281528	         2084,52	39	
0000023040	VILLA ELISA                                                           	OBS_NC	23/09/2020	FARMLNK-NC N                            	PAMIAMBCV5                              	                    0182658534	2020091	   0108A01281813	       305180,48	39	
0000023040	VILLA ELISA                                                           	OBS_NC	23/09/2020	FARMAPAMI                               	FARMAPAMI                               	                        424582	2020091	   0108A01283380	          659,81	39	
0000023040	VILLA ELISA                                                           	OBS_NC	23/09/2020	PRESERFAR UN                            	PRESERFAR UNIFICADO                     	                  000500125597	202038C	   0108A01282177	        38363,01	39	
0000023040	VILLA ELISA                                                           	OBS_NC	23/09/2020	PRESERFAR UN                            	PRESERFAR UNIFICADO                     	                  010400169087	202038C	   0108A01282178	          889,67	39	
0000023040	VILLA ELISA                                                           	OBS_NC	23/09/2020	FARMAPAMI                               	FARMAPAMI                               	                        424582	2020091	   0108A01283381	          403,96	39	
0000023040	VILLA ELISA                                                           	OBS_NC	23/09/2020	FARMAPAMI                               	FARMAPAMI                               	                        424582	2020091	   0108A01283753	         1305,71	39	
0000023040	VILLA ELISA                                                           	OBS_NC	23/09/2020	FARMAPAMI                               	FARMAPAMI                               	                        424582	2020091	   0108A01283754	         1083,53	39	
0000023040	VILLA ELISA                                                           	OBS_NC	23/09/2020	FARMAPAMI                               	FARMAPAMI                               	                        424582	2020091	   0108A01284370	          544,74	39	
0000023040	VILLA ELISA                                                           	OBS_NC	23/09/2020	FARMAPAMI                               	FARMAPAMI                               	                        424582	2020091	   0108A01284371	          978,96	39	
0000023040	VILLA ELISA                                                           	OBS_NC	18/09/2020	FARMALINK                               	SWISS MEDICAL                           	                       1880788	202007M	   0108A01279687	         4823,36	38	
