Fecha;Comprobante;Número Comprobante;Monto Exento;Monto Gravado;Monto Iva Inscripto;Monto Iva No Inscripto;Monto Percepciones DGR;Monto Percepciones Municipal;Monto Total
01/09/2020 10:57:00 a.m.;FAC;A001401275655;15.407,30;361,87;75,99;0,00;78,85;0,00;15.924,01
01/09/2020 11:21:00 a.m.;FAC;A001401275684;1.007,54;0,00;0,00;0,00;5,04;0,00;1.012,58
01/09/2020 11:55:00 a.m.;FAC;A001401275753;1.073,25;0,00;0,00;0,00;5,37;0,00;1.078,62
01/09/2020 11:55:00 a.m.;FAC;A001401275754;2.292,56;0,00;0,00;0,00;11,46;0,00;2.304,02
01/09/2020 12:00:00 p.m.;FAC;A001401275782;6.474,21;0,00;0,00;0,00;32,37;0,00;6.506,58
01/09/2020 06:35:00 p.m.;FAC;A001401275944;0,00;994,84;208,92;0,00;4,97;0,00;1.208,73
01/09/2020 07:04:00 p.m.;FAC;A001401276007;18.232,17;0,00;0,00;0,00;91,16;0,00;18.323,33
01/09/2020 07:39:00 p.m.;FAC;A001309292990;0,00;356,08;74,78;0,00;1,78;0,00;432,64
02/09/2020 11:14:00 a.m.;FAC;A001401276283;9.372,97;422,71;88,77;0,00;48,98;0,00;9.933,43
02/09/2020 11:56:00 a.m.;FAC;A001401276394;1.246,48;0,00;0,00;0,00;6,23;0,00;1.252,71
02/09/2020 12:00:00 p.m.;FAC;A001401276436;5.176,08;711,46;149,41;0,00;29,44;0,00;6.066,39
02/09/2020 06:45:00 p.m.;FAC;A001401276617;4.057,24;0,00;0,00;0,00;20,29;0,00;4.077,53
02/09/2020 06:55:00 p.m.;FAC;A001401276659;18.733,68;0,00;0,00;0,00;93,67;0,00;18.827,35
03/09/2020 11:07:00 a.m.;FAC;A001401276908;26.980,64;1.176,82;247,13;0,00;140,79;0,00;28.545,38
03/09/2020 11:07:00 a.m.;FAC;A001401276909;4.797,51;0,00;0,00;0,00;23,99;0,00;4.821,50
03/09/2020 11:20:00 a.m.;FAC;A001401276946;0,00;746,46;156,76;0,00;3,73;0,00;906,95
03/09/2020 11:56:00 a.m.;FAC;A001401277072;7.851,83;0,00;0,00;0,00;39,26;0,00;7.891,09
03/09/2020 12:13:00 p.m.;FAC;A001401277124;1.496,15;327,37;68,75;0,00;9,12;0,00;1.901,39
03/09/2020 05:53:00 p.m.;FAC;A001309300747;0,00;103,82;21,80;0,00;0,52;0,00;126,14
