FECHA DE PAGO; FECHA DE PRESENTACIÓN; N° DE LIQUIDACIÓN; N° DE COMERCIO; MONEDA; ENTIDAD PAGADORA; CUENTA BANCARIA; TOTAL BRUTO; TOTAL DESCUENTO; TOTAL NETO; TARJETA; TIPO DE LIQUIDACIÓN; ARANCEL ADICIONAL; REINTEGRO ARANCEL; RETENCIÓN GANANCIAS; IVA S/ARANCEL IVA RNI O SNC RG 213/98; IVA PERC. 3337 O SNC RG 213/98; IVA S/ ARANCEL 21%; RETENCIÓN IB; RETENCIÓN IVA S/VENTAS; IMPORTE ARANCEL; DTO. FINANCIERO PLAN CUOTAS; OTROS CONCEPTOS
01/06/2021;28/05/2021;109996;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;24.137,63;828,66;23.308,97;VISA DEBIT;DIARIA;0,00;0,00;119,72;0,00;0,00;40,55;355,58;119,72;193,09;0,00;0,00
01/06/2021;14/05/2021;109623;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;1.167,50;76,50;1.091,00;MASTERCARD;DIARIA;0,00;0,00;0,00;0,00;0,00;4,41;16,68;34,39;21,02;0,00;0,00
02/06/2021;31/05/2021;110059;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;39.231,91;1.346,87;37.885,04;VISA DEBIT;DIARIA;0,00;0,00;194,59;0,00;0,00;65,91;577,93;194,59;313,85;0,00;0,00
02/06/2021;31/05/2021;110036;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;8.498,27;250,24;8.248,03;MAESTRO;DIARIA;0,00;0,00;0,00;0,00;0,00;14,28;125,82;42,15;67,99;0,00;0,00
02/06/2021;18/05/2021;109691;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;8.045,80;527,22;7.518,58;VISA;DIARIA;0,00;0,00;0,00;0,00;0,00;30,41;114,96;237,03;144,82;0,00;0,00
03/06/2021;01/06/2021;110133;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;50.071,98;1.719,03;48.352,95;VISA DEBIT;DIARIA;0,00;0,00;248,36;0,00;0,00;84,12;737,62;248,36;400,57;0,00;0,00
04/06/2021;02/06/2021;110190;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;75.988,64;2.608,76;73.379,88;VISA DEBIT;DIARIA;0,00;0,00;376,90;0,00;0,00;127,66;1.119,40;376,90;607,90;0,00;0,00
04/06/2021;20/05/2021;109861;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;269,35;9,84;259,51;VISA;DIARIA;0,00;0,00;0,00;0,00;0,00;1,02;3,97;0,00;4,85;0,00;0,00
04/06/2021;20/05/2021;109859;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;505,66;33,13;472,53;MASTERCARD;DIARIA;0,00;0,00;0,00;0,00;0,00;1,91;7,22;14,90;9,10;0,00;0,00
07/06/2021;03/06/2021;110258;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;85.818,31;2.946,24;82.872,07;VISA DEBIT;DIARIA;0,00;0,00;425,66;0,00;0,00;144,17;1.264,21;425,66;686,54;0,00;0,00
07/06/2021;21/05/2021;109922;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;3.395,59;222,51;3.173,08;VISA;DIARIA;0,00;0,00;0,00;0,00;0,00;12,84;48,52;100,03;61,12;0,00;0,00
07/06/2021;03/06/2021;110287;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;756,22;18,57;737,65;MASTERCARD DEBIT;DIARIA;0,00;0,00;0,00;0,00;0,00;1,27;11,25;0,00;6,05;0,00;0,00
07/06/2021;21/05/2021;109920;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;653,89;109,39;544,50;MASTERCARD;DIARIA;0,00;0,00;0,00;0,00;0,00;2,47;9,34;19,26;11,77;0,00;66,55
08/06/2021;04/06/2021;110327;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;64.274,89;2.206,67;62.068,22;VISA DEBIT;DIARIA;0,00;0,00;318,80;0,00;0,00;107,99;946,85;318,80;514,23;0,00;0,00
08/06/2021;04/06/2021;110306;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;4.058,49;119,51;3.938,98;MAESTRO;DIARIA;0,00;0,00;0,00;0,00;0,00;6,82;60,09;20,13;32,47;0,00;0,00
08/06/2021;24/05/2021;109975;18666821;ARS;NUEVO BANCO DE ENTRE RIOS S.A.;6613369;1.400,18;91,75;1.308,43;MASTERCARD;DIARIA;0,00;0,00;0,00;0,00;0,00;5,29;20,01;41,25;25,20;0,00;0,00
